acc,area_ratio,area_opt_ratio,total_area,crossover_rate,mutation_rate,g0,g1,g2,g3,g4,g5,g6,g7
83.79,0.3316994069681244,2.0147777746738567,2069165.1133439997,0.8032358741287978,0.08382872924096293,17,11,12,14,0,14,7,11
79.54,0.31923647146034084,2.132474166956927,1991420.4119039995,0.8465329797941474,0.14587559990139018,17,19,15,10,10,10,11,15
86.24,0.43521126760563367,1.2977346278317161,2714879.655936,0.81640261822823,0.10833095466561765,17,15,11,14,5,10,6,5
74.51,0.256736471460341,2.895044573573465,1601540.8496640006,0.8082633406608983,0.09723198307671185,20,19,15,18,5,16,16,15
84.74,0.37417531504818397,1.6725440182263926,2334132.9285120014,0.8258288482848896,0.11396654921473025,19,15,12,14,0,10,6,11
71.8,0.23305226093402512,3.2908830662796724,1453797.015552,0.8005532142440592,0.014639143523113362,20,15,11,14,10,16,16,12
75.34,0.25953484062268345,2.85304723481738,1618997.2807680005,0.8185955720185532,0.08939348847033128,20,19,15,14,0,10,16,12
86.39,0.4443383988139362,1.2505369841302945,2771815.3666560007,0.7901814354941037,0.12186717434807559,17,11,15,14,0,10,6,5
84.67,0.34838769458858404,1.8703654449704779,2173267.869696,0.8417238357408533,0.06280233663881143,17,15,18,10,0,14,7,11
75.19,0.2671979243884357,2.7425440421695133,1666800.1566719993,0.7962669400588117,0.09666475461428739,20,19,15,10,10,16,15,12
87.06,0.4258802816901408,1.3480777180653165,2656672.2846720004,0.7199070226432257,0.10250050727464752,16,15,10,14,0,10,6,10
85.95,0.45223313565604134,1.2112488474541552,2821063.3113599997,0.7168748626656287,0.06954879491444971,22,15,11,14,0,10,6,5
77.56,0.26909747961452923,2.7161254777728043,1678649.7208320003,0.7945204765334993,0.06913111661508553,17,11,15,14,0,10,16,12
75.19,0.2671979243884357,2.7425440421695133,1666800.1566719993,0.8208703056322612,0.05406407700617244,20,19,15,10,10,16,15,12
77.99,0.2754262416604892,2.6307361055039706,1718129.0004480002,0.8202013182052543,0.13714579207844937,17,11,15,14,5,16,16,15
84.83,0.37350815418828764,1.6773177206083005,2329971.130368001,0.761465217164349,0.1220353051543764,19,15,11,14,0,18,6,11
78.55,0.33736100815418807,1.9641836958910148,2104482.5948159993,0.7428838651902556,0.06328285596986546,17,19,15,10,10,16,16,5
79.58,0.39296701260192746,1.5447428611851248,2451356.9095680015,0.7526179545571221,0.13030055101710586,17,11,17,14,0,10,7,5
83.4,0.4259822090437358,1.347515879230838,2657308.114943999,0.8367931514722797,0.06348826857431879,17,19,15,10,10,10,6,5
84.83,0.37350815418828764,1.6773177206083005,2329971.130368001,0.7648679522443885,0.0851872711771543,19,15,11,14,0,18,6,11
80.87,0.3140103780578205,2.184608120868745,1958819.6597759998,0.7362848327001463,0.023047135249770742,17,12,16,14,5,10,6,12
77.56,0.26909747961452923,2.7161254777728043,1678649.7208320003,0.7945204765334993,0.06913111661508553,17,11,15,14,0,10,16,12
82.1,0.31790214974054865,2.1456220123586327,1983096.8156160011,0.802947661573681,0.032376268927231854,20,15,12,14,5,14,15,15
84.77,0.36338028169014075,1.751937984496125,2266792.722432,0.8149481761093859,0.019904014681977823,19,15,12,14,5,14,15,6
85.08,0.42631578947368404,1.34567901234568,2659389.0140159996,0.7493825984028073,0.10818447760642665,17,15,16,14,5,10,6,5
86.15,0.4348776871756856,1.2994971448052506,2712798.756864,0.7787246924476484,0.016962701410061398,20,15,11,14,5,10,6,5
83.35,0.31257412898443276,2.1992410992203495,1949860.2332159998,0.7608209359667369,0.049990976295081674,19,15,11,14,0,14,16,7
83.58,0.3810693106004448,1.6241945288753796,2377138.176000001,0.8112603286909998,0.08209611487973692,22,15,11,14,0,10,6,15
66.54,0.23548925129725712,3.246478319036753,1468999.1393279997,0.7253108574403588,0.04607911816400863,20,12,16,18,10,13,7,12
82.15,0.364612676056338,1.742636407532593,2274480.4884480005,0.795127612484936,0.09727470942805368,17,11,12,14,0,14,16,5
74.83,0.24217939214232753,3.1291704928068587,1510732.7262719998,0.7831360921257062,0.08050099835351213,20,15,11,14,5,16,16,12
81.29,0.29355077835433646,2.406565656565658,1831191.18336,0.7288120987278564,0.07266780780519615,19,15,12,14,5,14,15,12
77.56,0.26909747961452923,2.7161254777728043,1678649.7208320003,0.7532891690711098,0.12402303686177556,17,11,15,14,0,10,16,12
77.02,0.2684303187546329,2.7253615934274587,1674487.9226879997,0.8178285410409194,0.01,19,15,12,14,0,14,16,12
83.79,0.3316994069681244,2.0147777746738567,2069165.1133439997,0.8032358741287978,0.08382872924096293,17,11,12,14,0,14,7,11
83.5,0.34702557449962934,1.8816319991455503,2164770.8651520004,0.7224611738882255,0.06122545379687112,17,19,15,18,5,10,6,11
76.99,0.2769922164566346,2.6102097481015614,1727897.6655360009,0.7588609474723536,0.113472682110431,22,15,11,14,0,10,16,12
85.14,0.3824036323202372,1.61503792192687,2385461.7722880007,0.73597660519327,0.08979223584964542,22,15,11,14,0,10,6,11
83.45,0.3129077094143811,2.195830495424797,1951941.132288001,0.8027696096316166,0.07705973269568833,17,15,10,14,0,14,16,7
79.86,0.2947831727205336,2.392323892748249,1838878.9493759999,0.7748371603765662,0.1050301382718519,17,11,12,14,0,14,15,12
67.1,0.24371756856931043,3.103110029655542,1520327.9831039994,0.7382618315273699,0.0837733205395323,20,15,16,18,10,13,7,12
84.57,0.36561341734618247,1.7351293813518507,2280723.1856640014,0.7392479527711988,0.045360462904311546,20,15,12,14,0,10,6,11
84.4,0.37217383246849534,1.6869164695630516,2321647.5340800015,0.7526589549795968,0.06420734846043423,19,15,11,14,0,18,15,6
81.05,0.2951167531504817,2.3884894345191388,1840959.8484479997,0.82729524272908,0.07586921486613146,17,19,15,10,5,14,16,7
82.33,0.2952186805040772,2.387319522912742,1841595.6787200011,0.7709607376621391,0.10821290412183458,20,15,11,14,5,10,16,7
83.79,0.3316994069681244,2.0147777746738567,2069165.1133439997,0.8032358741287978,0.08382872924096293,17,11,12,14,0,14,7,11
77.56,0.26909747961452923,2.7161254777728043,1678649.7208320003,0.7963235026100801,0.08084420419446373,17,11,15,14,0,10,16,12
76.58,0.26886582653817626,2.7193272677143665,1677204.6520319995,0.7597811380432071,0.035376114025668454,17,19,15,10,10,16,16,7
83.69,0.4256486286137879,1.349355625217695,2655227.215872,0.8302596029293858,0.07629927686785977,20,19,15,10,10,10,6,5
86.15,0.4348776871756856,1.2994971448052506,2712798.756864,0.7787246924476484,0.016962701410061398,20,15,11,14,5,10,6,5
