acc,area_ratio,area_opt_ratio,total_area,crossover_rate,mutation_rate,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42,layer_43,layer_44,layer_45,layer_46,layer_47,layer_48,layer_49,layer_50,layer_51,layer_52,layer_53,layer_54,layer_55,layer_56,layer_57,layer_58,layer_59,layer_60,layer_61,layer_62,layer_63,layer_64,layer_65,layer_66,layer_67,layer_68,layer_69,layer_70,layer_71,layer_72,layer_73,layer_74,layer_75,layer_76,layer_77,layer_78,layer_79,layer_80,layer_81,layer_82,layer_83,layer_84,layer_85,layer_86,layer_87,layer_88,layer_89,layer_90,layer_91,layer_92,layer_93,layer_94,layer_95
82.92,0.35520833333333335,1.8152492668621703,2215815.5120640006,0.7447772090859411,0.11849167482210628,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,8,16,15,10,14,0,10,6,12,16,15,10,14,1,10,6,9,16,15,10,14,0,10,6,7,16,15,10,14,0,10,9,10,16,15,10,14,0,10,3,10,18,15,10,12,0,10,6,10,16,15,10,14,0,10,6,13,16,15,10,16,0,8,6,10,16,15,10,14,1,9,16,15,17,11,15,14,0,10,16,12
83.86,0.305812175685693,2.2699809867210057,1907678.674944,0.7870508147135288,0.10110705964024129,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12
83.6,0.3255096367679763,2.0721056676819725,2030552.8750080005,0.7727517766302388,0.054428876090065026,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12
76.37,0.2510748702742771,2.982875701210513,1566223.3681919996,0.8110164777864778,0.05700744606889079,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12
71.22,0.23373795404002956,3.2782953419226972,1458074.4192,0.8117876314124416,0.05743402134821087,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,13,20,15,11,17,10,16,15,12,20,15,11,14,10,16,16,12,20,15,14,14,10,16,16,12
84.24,0.35099610822831717,1.8490344381525632,2189539.344384,0.7303547853696426,0.09139344210667451,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,17,15,11,14,0,10,6,11,22,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,0,14,13,7,19,15,14,14,0,14,16,7
85.87,0.37571271929824557,1.6616080548664822,2343723.3684480004,0.7701760159206317,0.11047215914386942,17,15,11,14,5,14,7,11,17,11,12,14,0,14,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,15,14,0,10,16,12,20,19,15,14,0,10,16,12,20,19,15,14,0,10,16,12
83.17,0.37180395972325175,1.6895894297208107,2319340.2408960005,0.7370628572242601,0.07302480688393807,17,11,12,14,0,17,7,11,17,11,12,14,0,14,7,11,16,17,10,14,0,12,6,10,16,15,10,13,0,10,6,10,17,15,10,14,0,10,6,10,16,15,10,17,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,12,20,19,15,14,0,10,16,12,20,19,15,14,0,10,16,12
86.7,0.4291018038052878,1.330449303945986,2676768.374784,0.7378335304356818,0.1114962600319487,17,11,15,14,0,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10
81.95,0.3160921670373116,2.1636342316637025,1971806.0113920006,0.7868127960121615,0.0660933755685262,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12
80.88,0.2793550778354336,2.5796736101897313,1742637.3672960002,0.8013017432791485,0.0666293677215358,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,15,18,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12
76.32,0.25028647763775624,2.9954216042279223,1561305.3173759996,0.7586000830771371,0.08570226886844011,17,15,11,14,5,14,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12
79.35,0.2710896960711636,2.688815969373806,1691077.3125119994,0.8068923338112793,0.03908974708122072,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,12,12,14,0,10,16,12,17,11,13,14,0,10,16,12,17,11,12,14,0,10,16,12,20,15,11,14,10,16,14,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,13,20,15,11,17,10,16,15,12,17,15,11,14,10,14,16,12,20,15,14,14,10,16,16,12
83.57,0.3217900605386705,2.107616184061182,2007349.886976,0.7763728361607289,0.042828898076882574,16,15,10,14,0,10,6,10,16,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,15,18,5,16,16,15,20,19,15,18,5,16,16,15,22,15,11,14,5,16,16,12
